Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 35x35x4;35,00;4,00;5,00;2,50;0,00;0,00;2,67;10,00;25,00;2,95;1,73;4,69;1,22;5,91;9,35;-45,00;10,50;8,00;13,30;6,80;14,80;18,70;1,21;1,51;0,39;-0,95;1,22;-0,86;0,99;0,95;1,90;0,86;1,18;0,82;1,13;1,11;-8,00;0,14;0,34;0,00;0,00;0,00;0,00;0,00;24,90;47,50;2,17;1,80;3,08;1,56;2,28;1,90;1,63;1,81;1,32;1,87;62,67;17,91;25,33;0,51;0,71;0,37;-6,20;6,20;0,00;0,00;62,67;2,10;0,14;267,00;509,36
L 35x35x5;35,00;5,00;5,00;2,50;0,00;0,00;3,28;10,40;24,60;3,56;2,08;5,64;1,49;7,13;11,25;-45,00;10,40;8,00;13,10;6,70;14,70;18,50;1,48;1,84;0,47;-1,15;1,42;-1,01;1,19;1,15;2,28;1,01;1,45;1,02;1,45;1,37;-7,90;0,26;0,52;0,00;0,00;0,00;0,00;0,00;23,90;46,20;2,65;2,19;3,74;1,90;2,30;1,90;1,64;1,89;1,62;2,30;77,01;22,05;31,18;0,62;0,87;0,45;-5,70;5,70;0,00;0,00;77,01;2,60;0,14;328,00;414,63
L 40x40x4;40,00;4,00;6,00;3,00;0,00;0,00;3,08;11,20;28,80;4,47;2,63;7,10;1,84;8,94;14,15;-45,00;12,10;9,20;15,20;7,70;17,10;21,40;1,60;2,00;0,52;-1,26;1,64;-1,16;1,31;1,26;2,51;1,16;1,55;0,94;1,27;1,27;-9,20;0,16;0,39;0,00;0,00;0,00;0,00;0,00;29,40;55,40;2,85;2,39;4,09;2,06;2,27;1,91;1,63;1,77;1,52;2,15;72,35;20,62;29,17;0,67;0,94;0,49;-7,30;7,30;-0,10;0,00;72,35;2,40;0,16;308,00;503,25
L 40x40x5;40,00;5,00;6,00;3,00;0,00;0,00;3,79;11,60;28,40;5,43;3,18;8,61;2,25;10,86;17,15;-45,00;12,00;9,20;15,10;7,70;17,00;21,30;1,96;2,45;0,62;-1,54;1,94;-1,37;1,59;1,54;3,04;1,37;1,91;1,18;1,63;1,58;-9,10;0,30;0,60;0,00;0,00;0,00;0,00;0,00;28,20;54,00;3,50;2,91;4,98;2,52;2,28;1,90;1,64;1,84;1,88;2,65;89,04;25,44;35,98;0,82;1,15;0,59;-6,80;6,80;0,00;0,00;89,04;3,00;0,16;379,00;408,97
L 40x40x6;40,00;6,00;6,00;3,00;0,00;0,00;4,48;12,00;28,00;6,31;3,67;9,99;2,64;12,63;19,91;-45,00;11,90;9,10;14,90;7,70;16,80;21,10;2,30;2,87;0,73;-1,80;2,20;-1,55;1,85;1,80;3,53;1,55;2,26;1,40;1,99;1,88;-9,00;0,51;0,84;0,00;0,00;0,00;0,00;0,00;27,20;52,60;4,13;3,40;5,82;2,97;2,29;1,89;1,65;1,91;2,22;3,14;105,25;30,12;42,60;0,97;1,35;0,70;-6,40;6,40;0,00;0,00;105,25;3,50;0,16;448,00;345,98
L 45x45x3;45,00;3,00;7,00;3,00;0,00;0,00;2,66;11,90;33,10;4,93;2,88;7,81;2,04;9,85;15,79;-45,00;13,60;10,40;17,10;8,80;19,20;24,40;1,58;1,96;0,52;-1,22;1,72;-1,21;1,28;1,22;2,45;1,21;1,49;0,79;1,02;1,05;-10,40;0,08;0,26;0,00;0,00;0,00;0,00;0,00;34,70;63,80;2,78;2,35;4,02;2,01;2,28;1,93;1,64;1,66;1,30;1,85;62,91;17,71;25,04;0,65;0,92;0,49;-8,80;8,80;-0,20;0,00;62,91;2,10;0,17;266,00;654,14
L 45x45x4;45,00;4,00;7,00;3,50;0,00;0,00;3,49;12,30;32,70;6,43;3,78;10,21;2,65;12,86;20,33;-45,00;13,60;10,40;17,10;8,70;19,20;24,10;2,04;2,55;0,66;-1,60;2,15;-1,52;1,68;1,60;3,21;1,52;1,97;1,06;1,42;1,43;-10,30;0,18;0,45;0,00;0,00;0,00;0,00;0,00;34,10;63,20;3,63;3,06;5,23;2,63;2,27;1,91;1,63;1,74;1,72;2,43;82,08;23,34;33,00;0,85;1,20;0,62;-8,40;8,40;-0,10;0,00;82,08;2,70;0,17;349,00;498,57
L 45x45x4.5;45,00;4,50;7,00;3,50;0,00;0,00;3,90;12,60;32,40;7,15;4,20;11,35;2,95;14,30;22,60;-45,00;13,50;10,40;17,10;8,70;19,10;24,10;2,28;2,84;0,73;-1,79;2,35;-1,66;1,87;1,79;3,57;1,66;2,20;1,20;1,61;1,61;-10,30;0,25;0,56;0,00;0,00;0,00;0,00;0,00;33,40;62,60;4,06;3,41;5,82;2,93;2,27;1,91;1,63;1,77;1,92;2,72;91,66;26,10;36,91;0,95;1,34;0,69;-8,20;8,20;-0,10;0,00;91,66;3,10;0,17;390,00;446,15
L 45x45x5;45,00;5,00;7,00;3,50;0,00;0,00;4,30;12,80;32,20;7,84;4,60;12,45;3,24;15,69;24,79;-45,00;13,50;10,30;17,00;8,70;19,10;24,00;2,51;3,13;0,80;-1,97;2,53;-1,79;2,05;1,97;3,91;1,79;2,43;1,33;1,81;1,78;-10,30;0,34;0,68;0,00;0,00;0,00;0,00;0,00;32,70;61,90;4,47;3,74;6,39;3,23;2,27;1,90;1,63;1,80;2,13;3,01;101,12;28,83;40,77;1,05;1,47;0,76;-8,00;8,00;-0,10;0,00;101,12;3,40;0,17;430,00;404,65
L 45x45x6;45,00;6,00;7,00;3,50;0,00;0,00;5,09;13,20;31,80;9,16;5,36;14,52;3,81;18,33;28,93;-45,00;13,40;10,30;16,90;8,60;19,00;23,80;2,95;3,68;0,94;-2,31;2,88;-2,04;2,39;2,31;4,56;2,04;2,88;1,58;2,21;2,12;-10,20;0,58;0,96;0,00;0,00;0,00;0,00;0,00;31,60;60,40;5,28;4,38;7,50;3,81;2,29;1,90;1,64;1,87;2,52;3,56;119,68;34,19;48,35;1,24;1,73;0,89;-7,50;7,50;-0,10;0,00;119,68;4,00;0,17;509,00;341,85
